id,POS,NodeType
1075,NOUN,synset
1076,NOUN,synset
1077,NOUN,synset
1078,NOUN,synset
1079,NOUN,synset
1080,NOUN,synset
1081,NOUN,synset
1082,NOUN,synset
1083,NOUN,synset
1084,NOUN,synset
1085,NOUN,synset
1086,NOUN,synset
1087,NOUN,synset
1088,NOUN,synset
1089,NOUN,synset
1090,NOUN,synset
1091,NOUN,synset
1092,NOUN,synset
1093,NOUN,synset
1094,NOUN,synset
1095,NOUN,synset
1096,NOUN,synset
1097,NOUN,synset
1098,NOUN,synset
1099,NOUN,synset
1100,NOUN,synset
1101,NOUN,synset
1102,NOUN,synset
1103,NOUN,synset
1104,NOUN,synset
1105,NOUN,synset
1106,NOUN,synset
1107,NOUN,synset
1108,NOUN,synset
1109,NOUN,synset
1110,NOUN,synset
1111,NOUN,synset
1112,NOUN,synset
1113,NOUN,synset
1114,NOUN,synset
1115,NOUN,synset
1116,NOUN,synset
1117,NOUN,synset
1118,NOUN,synset
1119,NOUN,synset
1120,NOUN,synset
1121,NOUN,synset
1122,NOUN,synset
1123,NOUN,synset
1124,NOUN,synset
1125,NOUN,synset
1126,NOUN,synset
1127,NOUN,synset
1128,NOUN,synset
1129,NOUN,synset
1130,NOUN,synset
1131,NOUN,synset
1132,NOUN,synset
1133,NOUN,synset
1134,NOUN,synset
1135,NOUN,synset
1136,NOUN,synset
1137,NOUN,synset
1138,NOUN,synset
1139,NOUN,synset
1140,NOUN,synset
1141,NOUN,synset
1142,NOUN,synset
1143,NOUN,synset
1144,NOUN,synset
1145,NOUN,synset
1146,NOUN,synset
1147,NOUN,synset
1148,NOUN,synset
1149,NOUN,synset
1150,NOUN,synset
1151,NOUN,synset
1152,NOUN,synset
1153,NOUN,synset
1154,NOUN,synset
1155,NOUN,synset
1156,NOUN,synset
1157,NOUN,synset
1158,NOUN,synset
1159,NOUN,synset
1160,NOUN,synset
1161,NOUN,synset
1162,NOUN,synset
1163,NOUN,synset
1164,NOUN,synset
1165,NOUN,synset
1166,NOUN,synset
1167,NOUN,synset
1168,NOUN,synset
1169,NOUN,synset
1170,NOUN,synset
1171,NOUN,synset
1172,NOUN,synset
1173,NOUN,synset
1174,NOUN,synset
1175,NOUN,synset
1176,NOUN,synset
1177,NOUN,synset
1178,NOUN,synset
1179,NOUN,synset
1180,NOUN,synset
1181,NOUN,synset
1182,NOUN,synset
1183,NOUN,synset
1184,NOUN,synset
1185,NOUN,synset
1186,NOUN,synset
1187,NOUN,synset
1188,NOUN,synset
1189,NOUN,synset
1190,NOUN,synset
1191,NOUN,synset
1192,NOUN,synset
1193,NOUN,synset
1194,NOUN,synset
1195,NOUN,synset
1196,NOUN,synset
1197,NOUN,synset
1198,NOUN,synset
1199,NOUN,synset
1200,NOUN,synset
1201,NOUN,synset
1202,NOUN,synset
1203,NOUN,synset
1204,NOUN,synset
1205,NOUN,synset
1206,NOUN,synset
1207,NOUN,synset
1208,NOUN,synset
1209,NOUN,synset
1210,NOUN,synset
1211,NOUN,synset
1212,NOUN,synset
1213,NOUN,synset
1214,NOUN,synset
1215,NOUN,synset
1216,NOUN,synset
1217,NOUN,synset
1218,NOUN,synset
1219,NOUN,synset
1220,NOUN,synset
1221,NOUN,synset
1222,NOUN,synset
1223,NOUN,synset
1224,NOUN,synset
1225,NOUN,synset
1226,NOUN,synset
1227,NOUN,synset
1228,NOUN,synset
1229,NOUN,synset
1230,NOUN,synset
1231,NOUN,synset
1232,NOUN,synset
1233,NOUN,synset
1234,NOUN,synset
1235,NOUN,synset
1236,NOUN,synset
1237,NOUN,synset
1238,NOUN,synset
1239,NOUN,synset
1240,NOUN,synset
1241,NOUN,synset
1242,NOUN,synset
1243,NOUN,synset
1244,NOUN,synset
1245,NOUN,synset
1246,NOUN,synset
1247,NOUN,synset
1248,NOUN,synset
1249,NOUN,synset
1250,NOUN,synset
1251,NOUN,synset
1252,NOUN,synset
1253,NOUN,synset
1254,NOUN,synset
1255,NOUN,synset
1256,NOUN,synset
1257,NOUN,synset
1258,NOUN,synset
1259,NOUN,synset
1260,NOUN,synset
1261,NOUN,synset
1262,NOUN,synset
1263,NOUN,synset
1264,NOUN,synset
1265,NOUN,synset
1266,NOUN,synset
1267,NOUN,synset
1268,NOUN,synset
1269,NOUN,synset
1270,NOUN,synset
1271,NOUN,synset
1272,NOUN,synset
1273,NOUN,synset
1274,NOUN,synset
1275,NOUN,synset
1276,NOUN,synset
1277,NOUN,synset
1278,NOUN,synset
1279,NOUN,synset
1280,NOUN,synset
1281,NOUN,synset
1282,NOUN,synset
1283,NOUN,synset
1284,NOUN,synset
1285,NOUN,synset
1286,NOUN,synset
1287,NOUN,synset
1288,NOUN,synset
1289,NOUN,synset
1290,NOUN,synset
1291,NOUN,synset
1292,NOUN,synset
1293,NOUN,synset
1294,NOUN,synset
1295,NOUN,synset
1296,NOUN,synset
1297,NOUN,synset
1298,NOUN,synset
1299,NOUN,synset
1300,NOUN,synset
1301,NOUN,synset
1302,NOUN,synset
1303,NOUN,synset
1304,NOUN,synset
1305,NOUN,synset
1306,NOUN,synset
1307,NOUN,synset
1308,NOUN,synset
1309,NOUN,synset
1310,NOUN,synset
1311,NOUN,synset
1312,NOUN,synset
1313,NOUN,synset
1314,NOUN,synset
1315,NOUN,synset
1316,NOUN,synset
1317,NOUN,synset
1318,NOUN,synset
1319,NOUN,synset
1320,NOUN,synset
1321,NOUN,synset
1322,NOUN,synset
1323,NOUN,synset
1324,NOUN,synset
1325,NOUN,synset
1326,NOUN,synset
1327,NOUN,synset
1328,NOUN,synset
1329,NOUN,synset
1330,NOUN,synset
1331,NOUN,synset
1332,NOUN,synset
1333,NOUN,synset
1334,NOUN,synset
1335,NOUN,synset
1336,NOUN,synset
1337,NOUN,synset
1338,NOUN,synset
1339,NOUN,synset
1340,NOUN,synset
1341,NOUN,synset
1342,NOUN,synset
1343,NOUN,synset
1344,NOUN,synset
1345,NOUN,synset
1346,NOUN,synset
1347,NOUN,synset
1348,NOUN,synset
1349,NOUN,synset
1350,NOUN,synset
1351,NOUN,synset
1352,NOUN,synset
1353,NOUN,synset
1354,NOUN,synset
1355,NOUN,synset
1356,NOUN,synset
1357,NOUN,synset
1358,NOUN,synset
